,abscissas,weight
0,-0.998237709710557,0.004521277098532705
1,-0.9907262386994571,0.010498284531154102
2,-0.977259949983773,0.016421058381904025
3,-0.9579168192137926,0.022245849194170657
4,-0.9328128082786774,0.027937006980024475
5,-0.9020988069688758,0.0334601952825469
6,-0.8659595032122601,0.038782167974473064
7,-0.8246122308333119,0.04387090818567218
8,-0.778305651426521,0.04869580763506991
9,-0.7273182551899273,0.053227846983937
10,-0.6719566846141798,0.05743976909939247
11,-0.6125538896679816,0.06130624249292995
12,-0.5494671250951285,0.06480401345660051
13,-0.48307580168617903,0.06791204581523388
14,-0.4137792043716045,0.07061164739128649
15,-0.3419940908257582,0.07288658239580431
16,-0.26815218500725285,0.0747231690579674
17,-0.19269758070137147,0.07611036190062626
18,-0.11608407067525531,0.0770398181642487
19,-0.038772417506050885,0.07750594797842514
20,0.038772417506050726,0.07750594797842407
21,0.11608407067525515,0.07703981816424828
22,0.19269758070137089,0.07611036190062608
23,0.2681521850072529,0.07472316905796808
24,0.34199409082575816,0.07288658239580299
25,0.9982377097105579,0.0045212770985329845
26,0.9907262386994553,0.010498284531151774
27,0.9772599499837733,0.016421058381910113
28,0.9579168192137905,0.022245849194167142
29,0.9328128082786753,0.02793700698002022
30,0.9020988069688729,0.03346019528254947
31,0.8659595032122592,0.03878216797447351
32,0.8246122308333111,0.04387090818567219
33,0.7783056514265185,0.04869580763507221
34,0.7273182551899269,0.05322784698393758
35,0.6719566846141792,0.057439769099390095
36,0.6125538896679806,0.061306242492929076
37,0.4137792043716054,0.0706116473912873
38,0.5494671250951291,0.0648040134566008
39,0.483075801686179,0.06791204581523437
